Word,Counts
下载,2
客户端,2
登录,1
无障碍,1
中等,3
强度,3
地震,62
超百人,1
遇难,3
积石山,7
为何,3
伤害,1
这样,2
冯丽妃,1
满山,1
中国,12
科学报,9
202312200852,1
科学,2
字号,1
12,2
19,2
救援,7
人员,1
大河,1
家镇,1
进行,3
新华社,1
记者,1
张领,1
18,1
23,1
59,1
甘肃省,2
临夏回族自治州,1
积石山保安族东乡族撒拉族自治县,1
发生,17
62,2
震源,3
深度,2
10,1
公里,2
截至,1
16,1
此次,13
造成,3
甘肃,4
113,1
青海,3
14,1
目前,4
工作,2
正在,1
紧张,1
有序,2
展开,1
中级,2
伤亡人数,3
偏高,2
当地,2
历史,4
是否,1
强震,2
余震,6
影响,2
如何,4
就此,1
邀请,1
国家,1
自然灾害,1
防治,1
研究院,1
创院,1
院长,1
中国地质大学,1
教授,2
徐锡伟,8
兰州大学,1
地质,3
矿产资源,1
学院,1
袁道阳,4
分析,1
解读,1
位于,4
南北,3
地震带,3
出乎,1
意料,1
属于,1
汶川,2
玉树,1
不同,1
背景,2
发生率,1
更高,1
人员伤亡,2
较大,1
原因,2
多方面,1
首先,1
震中,4
地区,7
山区,1
坡度,1
地基,2
相对,3
容易,2
崩塌,1
现象,1
其次,1
房屋,4
抗震,2
性能,1
不够,1
震动,1
破坏,3
条件,2
倒塌,2
边墙,1
此外,3
重要,2
一个,2
深夜,1
大部分,1
已经,2
休息,1
来时,1
可能,4
来不及,1
躲避,1
有何,2
青藏高原,2
东部,2
地球,1
活动,9
比较,1
强烈,1
地方,1
位置,1
来看,1
北西,1
拉脊山,3
断裂带,4
密切相关,1
考古,1
研究,3
表明,1
过大,1
台网,8
中心,3
组织,1
专家,2
分析表明,1
相同,1
冲型,1
破裂,2
逆冲型,1
两辆,1
迎面,1
行驶,1
碰撞,1
一辆车,2
前部,1
飞到,1
顶部,1
破坏力,1
擦肩而过,1
滑型,1
更强,1
这次,2
构造,2
弧形,1
断裂,4
东缘,4
第四纪,2
以来,3
具有,1
中强,1
以上,3
类似,1
门源,1
玛多,1
断层,5
特大,3
区域,5
情况,4
2013,1
岷县,1
漳县,1
66,1
最大,1
一次,2
破坏性,2
史料,1
记载,1
本身,1
没有,1
附近,6
特别,1
靠近,1
秦岭,1
北缘,1
康乐,1
曾于,1
1936,1
67,1
左右,2
记录,1
近年来,2
几次,1
五六级,1
根据,2
考古学,1
距今,1
4000,1
3000,1
年前,1
这一,1
地表,1
黄河,1
河堤,1
变形,1
形成,2
大面积,1
滑坡,2
堰塞湖,1
导致,1
洪水,1
如今,1
喇家,1
遗址,1
认同,1
观点,1
主震,2
统计,1
200,1
范围,1
1900,1
次均,1
孤立,1
这里,1
原本,1
频繁,1
所以,3
警惕,1
西部,1
密度,2
提升,2
空间,2
布局,1
我国,4
布设,1
较为,2
广泛,1
相比,1
系统,1
守夜人,1
仪器设备,1
24,1
小时,1
当前,2
我们,4
机理,2
认识,2
完善,1
对于,1
三要素,1
时间,1
地点,1
震级,1
仍然,1
无法,1
准确,1
预测,1
预报,1
还有,1
哪些,1
提高,2
监测,4
精度,1
办法,1
预警,1
精确度,1
方法,1
就是,1
摸清,1
明确,1
千条,1
同时,3
中国地震局,1
采用,1
微重力,1
手段,1
一些,1
风险系数,1
划定,1
年度,1
重点,2
危险区,1
这些,1
建立,1
消防队,1
主力军,1
应急,1
力量,1
灾后,3
越来越,1
未来,1
需要,1
进一步,1
加强,1
建设,4
建议,1
程度,2
以及,1
民房,2
持续,1
调查,1
现有,1
县城,1
麻滩,1
距离,1
只有,1
几公里,1
这个,1
损坏,1
比较严重,1
边上,1
村庄,1
受到,1
严重,1
因为,1
较多且,1
大多,1
土坯,1
砖木结构,1
谨防,1
带来,2
二次,1
危害,1
气温,1
零下,1
十几,1
度要,1
注意,2
防寒,1
避免出现,1
冻伤,1
重建,2
两件事,1
选址,1
尽可能,1
避开,1
已知,1
选择,1
边坡,1
稳定性,1
更好,1
防止,1
次生,1
灾害,1
方面,1
按照,1
设防,1
标准,1
建造,1
减少,1
责任编辑,1
郑洁,1
澎湃,9
新闻,8
报料,4
021962866,2
未经,1
授权,1
不得,1
转载,1
收藏,1
我要,1
举报,1
已致,1
127,1
查看,2
开始,1
答题,1
扫码,1
Android,1
iPhone,1
iPad,1
关于,1
加入,1
联系,1
广告,1
合作,1
法律,1
声明,1
隐私,1
政策,1
矩阵,1
微博,1
公众,1
抖音,1
IPSHANGHAISIXTHTONE,1
热线,1
邮箱,1
newsthepapercn,1
ICP,1
14003370,1
公网,1
安备,1
31010602000299,1
互联网,1
信息,1
服务,1
许可证,2
31120170006,1
增值,1
电信业务,1
经营,1
B2201711620142023,1
上海东方,1
报业,1
有限公司,1
反馈,1
